date,temperature_f,wind_speed_mph,cooling_degree_days,heating_degree_days,solar_potential_index,wind_potential_index,weather_simple
2025-05-24,50.0,10.0,0.0,15.0,0.7,0.4,Partly Cloudy
2025-05-25,66.0,9.0,1.0,0.0,1.0,0.36,Clear
2025-05-25,52.0,8.0,0.0,13.0,0.7,0.32,Partly Cloudy
2025-05-26,69.0,8.0,4.0,0.0,1.0,0.32,Clear
2025-05-26,51.0,5.0,0.0,14.0,1.0,0.2,Clear
2025-05-27,72.0,5.0,7.0,0.0,1.0,0.2,Clear
2025-05-27,51.0,7.0,0.0,14.0,0.7,0.28,Partly Cloudy
2025-05-28,68.0,7.0,3.0,0.0,1.0,0.28,Clear
2025-05-28,52.0,7.0,0.0,13.0,0.7,0.28,Partly Cloudy
2025-05-29,73.0,6.0,8.0,0.0,1.0,0.24,Clear
2025-05-29,54.0,5.0,0.0,11.0,1.0,0.2,Clear
2025-05-30,80.0,5.0,15.0,0.0,1.0,0.2,Clear
2025-05-30,55.0,6.0,0.0,10.0,1.0,0.24,Clear
2025-05-31,74.0,6.0,9.0,0.0,1.0,0.24,Clear
